angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.26,,"[238, 184, 121, 154]",,0.0,,0.02,,0.21,,0.14,,0.34,,0.03,
0.24,,"[244, 181, 124, 160]",,0.0,,0.02,,0.08,,0.11,,0.54,,0.01,
0.25,,"[244, 180, 124, 161]",,0.0,,0.02,,0.06,,0.11,,0.54,,0.01,
0.21,,"[242, 178, 124, 160]",,0.0,,0.02,,0.14,,0.14,,0.47,,0.02,
0.2,,"[243, 178, 123, 160]",,0.0,,0.02,,0.17,,0.13,,0.48,,0.01,
0.24,,"[244, 180, 123, 161]",,0.0,,0.06,,0.1,,0.17,,0.42,,0.02,
0.22,,"[232, 178, 131, 157]",,0.0,,0.02,,0.18,,0.2,,0.36,,0.02,
0.16,,"[244, 178, 126, 157]",,0.0,,0.03,,0.21,,0.15,,0.43,,0.02,
0.19,,"[245, 178, 124, 157]",,0.0,,0.02,,0.15,,0.2,,0.43,,0.01,
0.21,,"[234, 178, 132, 158]",,0.0,,0.02,,0.05,,0.24,,0.49,,0.0,
0.11,,"[232, 176, 135, 165]",,0.0,,0.01,,0.05,,0.39,,0.44,,0.0,
0.04,,"[233, 175, 135, 166]",,0.0,,0.01,,0.12,,0.65,,0.19,,0.0,
0.08,,"[241, 175, 130, 161]",,0.0,,0.01,,0.07,,0.56,,0.28,,0.0,
0.09,,"[251, 178, 126, 152]",,0.0,,0.01,,0.37,,0.17,,0.36,,0.0,
0.18,,"[254, 181, 128, 155]",,0.0,,0.01,,0.47,,0.15,,0.19,,0.0,
0.09,,"[264, 174, 123, 158]",,0.0,,0.01,,0.1,,0.66,,0.14,,0.0,
0.16,,"[267, 176, 122, 156]",,0.0,,0.04,,0.07,,0.44,,0.3,,0.01,
0.04,,"[260, 176, 125, 157]",,0.0,,0.03,,0.09,,0.68,,0.16,,0.01,
0.04,,"[260, 174, 125, 158]",,0.0,,0.03,,0.06,,0.73,,0.13,,0.01,
0.03,,"[262, 177, 121, 154]",,0.0,,0.03,,0.16,,0.7,,0.08,,0.0,
0.06,,"[259, 175, 121, 154]",,0.0,,0.04,,0.02,,0.75,,0.13,,0.0,
0.09,,"[258, 176, 121, 152]",,0.0,,0.1,,0.01,,0.58,,0.22,,0.0,
0.12,,"[258, 175, 119, 151]",,0.0,,0.01,,0.05,,0.66,,0.16,,0.01,
0.04,,"[256, 178, 119, 151]",,0.0,,0.02,,0.04,,0.68,,0.22,,0.0,
0.08,,"[257, 176, 122, 149]",,0.0,,0.03,,0.03,,0.64,,0.22,,0.0,
0.05,,"[249, 174, 124, 150]",,0.0,,0.02,,0.44,,0.33,,0.14,,0.01,
0.11,,"[241, 164, 126, 155]",,0.0,,0.01,,0.07,,0.64,,0.17,,0.0,
0.04,,"[243, 172, 120, 149]",,0.0,,0.02,,0.15,,0.67,,0.13,,0.0,
0.14,,"[240, 170, 122, 151]",,0.0,,0.03,,0.35,,0.25,,0.22,,0.0,
0.14,0.34,"[232, 179, 117, 147]","[361, 244, 29, 33]",0.01,0.0,0.03,0.09,0.39,0.2,0.3,0.07,0.12,0.26,0.0,0.05
0.12,,"[224, 179, 117, 141]",,0.0,,0.02,,0.25,,0.55,,0.06,,0.0,
0.1,,"[217, 180, 113, 140]",,0.0,,0.02,,0.2,,0.6,,0.06,,0.01,
0.23,,"[227, 184, 107, 129]",,0.0,,0.03,,0.26,,0.4,,0.07,,0.01,
0.05,,"[231, 171, 108, 138]",,0.0,,0.01,,0.39,,0.51,,0.04,,0.01,
0.06,,"[229, 171, 115, 141]",,0.0,,0.01,,0.43,,0.44,,0.06,,0.0,
0.05,,"[225, 168, 123, 151]",,0.0,,0.01,,0.25,,0.63,,0.06,,0.0,
